pair_id,dataset,service_name,old_sha,new_sha,old_canonical,new_canonical,generated_at
pair-0035005b9226aa808e3c,openapi,synth-openapi-c4a3b10703a1,8e8fcee0bd636c0baf29,a780a1dc0f030a54080c,openapi--synth-openapi-c4a3b10703a1--0035005b--v1.canonical.json,openapi--synth-openapi-c4a3b10703a1--0035005b--v2.canonical.json,2025-11-30T13:20:30+00:00
pair-0093c4e71a4e07f309b4,openapi,synth-openapi-9c92cb5f9018,ed9fba96ec0ccd0acac2,bfa4bf28b08aa652b27d,openapi--synth-openapi-9c92cb5f9018--0093c4e7--v1.canonical.json,openapi--synth-openapi-9c92cb5f9018--0093c4e7--v2.canonical.json,2025-11-30T13:20:30+00:00
pair-00bb38c7af68cc821b52,openrewrite,auth-service,0110552a966c8de4b737,fbba7e71263e80d16a8c,openrewrite--auth-service--00bb38c7--v1.canonical.json,openrewrite--auth-service--00bb38c7--v2.canonical.json,2025-11-30T13:47:14+00:00
pair-0125d5ded9474eba0eaf,openrewrite,user-service,0110552a966c8de4b737,9b464d3f7dc0f177af47,openrewrite--user-service--0125d5de--v1.canonical.json,openrewrite--user-service--0125d5de--v2.canonical.json,2025-11-30T13:47:14+00:00
pair-01571a0bff019f1b3b12,petclinic,petclinic-analytics-service,af17474e7a8e8d38e4d8,1a784d5c57f34f641a6f,petclinic--petclinic-analytics-service--01571a0b--v1.canonical.json,petclinic--petclinic-analytics-service--01571a0b--v2.canonical.json,2025-11-30T13:46:44+00:00
pair-0168b745681dc6dab134,openrewrite,catalog-service,0110552a966c8de4b737,5b648da1efd7d3262e32,openrewrite--catalog-service--0168b745--v1.canonical.json,openrewrite--catalog-service--0168b745--v2.canonical.json,2025-11-30T13:47:14+00:00
pair-0175c293c3f365392e57,openrewrite,payment-service,0110552a966c8de4b737,d1e4ca4dddf7d80882a5,openrewrite--payment-service--0175c293--v1.canonical.json,openrewrite--payment-service--0175c293--v2.canonical.json,2025-11-30T13:47:13+00:00
pair-01d21eb835300749cceb,petclinic,petclinic-order-service,6d4ab5cd24f74056fe9c,6d4ab5cd24f74056fe9c,petclinic--petclinic-order-service--01d21eb8--v1.canonical.json,petclinic--petclinic-order-service--01d21eb8--v2.canonical.json,2025-11-30T13:46:44+00:00
pair-01d41530e9a1e580f16b,openapi,synth-openapi-de47b494ce78,f82959354f7b5263cf4d,72f0bfdf25c13dffb729,openapi--synth-openapi-de47b494ce78--01d41530--v1.canonical.json,openapi--synth-openapi-de47b494ce78--01d41530--v2.canonical.json,2025-11-30T13:20:30+00:00
pair-026c1b78817728a9acd8,openrewrite,notifications-service,0110552a966c8de4b737,c1803f8eddddb6c91cfd,openrewrite--notifications-service--026c1b78--v1.canonical.json,openrewrite--notifications-service--026c1b78--v2.canonical.json,2025-11-30T13:47:13+00:00
pair-0308b71b4633c58c78ef,openapi,synth-openapi-9551f0e2d52b,d389ee8872dcfefe82cd,e3a59218ad40c8257331,openapi--synth-openapi-9551f0e2d52b--0308b71b--v1.canonical.json,openapi--synth-openapi-9551f0e2d52b--0308b71b--v2.canonical.json,2025-11-30T13:20:30+00:00
pair-030916913363ba22e658,openapi,synth-openapi-d87df18a24b2,d6c93e2445b73c0c7d59,d5646c09d6795e1a0699,openapi--synth-openapi-d87df18a24b2--03091691--v1.canonical.json,openapi--synth-openapi-d87df18a24b2--03091691--v2.canonical.json,2025-11-30T13:20:30+00:00
pair-0372ea56a43099de0814,openapi,synth-openapi-f38a3b7cd3da,f6090f2fdb8648526e9a,cd46bee8294a7bd4073d,openapi--synth-openapi-f38a3b7cd3da--0372ea56--v1.canonical.json,openapi--synth-openapi-f38a3b7cd3da--0372ea56--v2.canonical.json,2025-11-30T13:20:30+00:00
pair-03a934fd833a9a9dc604,openrewrite,inventory-service,0110552a966c8de4b737,65904bda4c88cbecb9f6,openrewrite--inventory-service--03a934fd--v1.canonical.json,openrewrite--inventory-service--03a934fd--v2.canonical.json,2025-11-30T13:47:13+00:00
pair-040d23bf957a00b3512b,openapi,synth-openapi-ec5ffdc0f2da,f3720db009e0b3c660fd,1ec0d5dba35f2b636c93,openapi--synth-openapi-ec5ffdc0f2da--040d23bf--v1.canonical.json,openapi--synth-openapi-ec5ffdc0f2da--040d23bf--v2.canonical.json,2025-11-30T13:20:30+00:00
pair-041c1ee74ad5a128e230,openapi,synth-openapi-3f3cc0090565,96da7490fb5d39c66189,3280299cf86e6527ec3f,openapi--synth-openapi-3f3cc0090565--041c1ee7--v1.canonical.json,openapi--synth-openapi-3f3cc0090565--041c1ee7--v2.canonical.json,2025-11-30T13:20:30+00:00
pair-049b266d4db397904361,openrewrite,auth-service,0110552a966c8de4b737,54fe9fa0137397035e3a,openrewrite--auth-service--049b266d--v1.canonical.json,openrewrite--auth-service--049b266d--v2.canonical.json,2025-11-30T13:47:13+00:00
pair-04afea854d811999b4e6,openrewrite,user-service,0110552a966c8de4b737,1fadb2e324e126d2c4e8,openrewrite--user-service--04afea85--v1.canonical.json,openrewrite--user-service--04afea85--v2.canonical.json,2025-11-30T13:47:14+00:00
