ace_id,pair_id,project,old_version,new_version,type,raw_type,method,path,path_depth,breaking_change,shared_schemas_count,calls_services_count,has_request_body,has_response_body,detail_len,is_add,is_remove,detail
pair-0035005b9226aa808e3c::ace::0,pair-0035005b9226aa808e3c,,,,param_required_added,PARAM_REQUIRED_ADDED,get,/synth-openapi-c4a3b10703a1/auto92865,2,0,0,0,0,0,0,0,0,
pair-0035005b9226aa808e3c::ace::1,pair-0035005b9226aa808e3c,,,,enum_narrowed,ENUM_NARROWED,get,/synth-openapi-c4a3b10703a1/items,2,0,0,0,0,0,0,0,0,
pair-0035005b9226aa808e3c::ace::2,pair-0035005b9226aa808e3c,,,,enum_narrowed,ENUM_NARROWED,get,/synth-openapi-c4a3b10703a1/auto89188,2,0,0,0,0,0,0,0,0,
pair-0035005b9226aa808e3c::ace::3,pair-0035005b9226aa808e3c,,,,param_added,PARAM_ADDED,get,/synth-openapi-c4a3b10703a1/auto41285,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::0,pair-0093c4e71a4e07f309b4,,,,endpoint_added,ENDPOINT_ADDED,get,/synth-openapi-9c92cb5f9018/auto32374,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::1,pair-0093c4e71a4e07f309b4,,,,enum_narrowed,ENUM_NARROWED,get,/synth-openapi-9c92cb5f9018/auto16373,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::2,pair-0093c4e71a4e07f309b4,,,,endpoint_added,ENDPOINT_ADDED,get,/synth-openapi-9c92cb5f9018/auto32374,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::3,pair-0093c4e71a4e07f309b4,,,,param_type_changed,PARAM_TYPE_CHANGED,get,/synth-openapi-9c92cb5f9018/auto16373,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::4,pair-0093c4e71a4e07f309b4,,,,enum_narrowed,ENUM_NARROWED,get,/synth-openapi-9c92cb5f9018/auto32374,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::5,pair-0093c4e71a4e07f309b4,,,,param_type_changed,PARAM_TYPE_CHANGED,get,/synth-openapi-9c92cb5f9018/auto16373,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::6,pair-0093c4e71a4e07f309b4,,,,param_required_added,PARAM_REQUIRED_ADDED,get,/synth-openapi-9c92cb5f9018/auto16373,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::7,pair-0093c4e71a4e07f309b4,,,,endpoint_added,ENDPOINT_ADDED,get,/synth-openapi-9c92cb5f9018/items,2,0,0,0,0,0,0,0,0,
pair-0093c4e71a4e07f309b4::ace::8,pair-0093c4e71a4e07f309b4,,,,param_required_added,PARAM_REQUIRED_ADDED,get,/synth-openapi-9c92cb5f9018/auto16373,2,0,0,0,0,0,0,0,0,
pair-00bb38c7af68cc821b52::ace::0,pair-00bb38c7af68cc821b52,,,,endpoint_added,ENDPOINT_ADDED,get,/profiles/{id},2,0,0,0,0,0,14,0,0,/profiles/{id}
pair-0125d5ded9474eba0eaf::ace::0,pair-0125d5ded9474eba0eaf,,,,endpoint_added,ENDPOINT_ADDED,get,/orders/{id},2,0,0,0,0,0,12,0,0,/orders/{id}
pair-01571a0bff019f1b3b12::ace::0,pair-01571a0bff019f1b3b12,,,,endpoint_added,ENDPOINT_ADDED,get,/analytics-service/new0,2,0,0,0,0,0,23,0,0,/analytics-service/new0
pair-0168b745681dc6dab134::ace::0,pair-0168b745681dc6dab134,,,,endpoint_added,ENDPOINT_ADDED,get,/shipments/{id},2,0,0,0,0,0,15,0,0,/shipments/{id}
pair-0175c293c3f365392e57::ace::0,pair-0175c293c3f365392e57,,,,endpoint_added,ENDPOINT_ADDED,get,/products/{id},2,0,0,0,0,0,14,0,0,/products/{id}
pair-01d21eb835300749cceb::ace::0,pair-01d21eb835300749cceb,,,,response_code_removed,RESPONSE_CODE_REMOVED,get,/order-service,1,1,0,0,0,0,7,0,0,['201']
pair-01d41530e9a1e580f16b::ace::0,pair-01d41530e9a1e580f16b,,,,param_type_changed,PARAM_TYPE_CHANGED,get,/synth-openapi-de47b494ce78/items,2,0,0,0,0,0,0,0,0,
pair-01d41530e9a1e580f16b::ace::1,pair-01d41530e9a1e580f16b,,,,param_required_added,PARAM_REQUIRED_ADDED,get,/synth-openapi-de47b494ce78/auto52928,2,0,0,0,0,0,0,0,0,
pair-01d41530e9a1e580f16b::ace::2,pair-01d41530e9a1e580f16b,,,,endpoint_added,ENDPOINT_ADDED,get,/synth-openapi-de47b494ce78/auto24546,2,0,0,0,0,0,0,0,0,
pair-01d41530e9a1e580f16b::ace::3,pair-01d41530e9a1e580f16b,,,,response_code_removed,RESPONSE_CODE_REMOVED,get,/synth-openapi-de47b494ce78/auto52928,2,1,0,0,0,0,0,0,0,
pair-01d41530e9a1e580f16b::ace::4,pair-01d41530e9a1e580f16b,,,,response_code_removed,RESPONSE_CODE_REMOVED,get,/synth-openapi-de47b494ce78/auto20414,2,1,0,0,0,0,0,0,0,
pair-01d41530e9a1e580f16b::ace::5,pair-01d41530e9a1e580f16b,,,,enum_narrowed,ENUM_NARROWED,get,/synth-openapi-de47b494ce78/auto20414,2,0,0,0,0,0,0,0,0,
pair-01d41530e9a1e580f16b::ace::6,pair-01d41530e9a1e580f16b,,,,response_code_removed,RESPONSE_CODE_REMOVED,get,/synth-openapi-de47b494ce78/auto76302,2,1,0,0,0,0,0,0,0,
pair-01d41530e9a1e580f16b::ace::7,pair-01d41530e9a1e580f16b,,,,enum_narrowed,ENUM_NARROWED,get,/synth-openapi-de47b494ce78/items,2,0,0,0,0,0,0,0,0,
pair-01d41530e9a1e580f16b::ace::8,pair-01d41530e9a1e580f16b,,,,param_required_added,PARAM_REQUIRED_ADDED,get,/synth-openapi-de47b494ce78/auto24546,2,0,0,0,0,0,0,0,0,
pair-026c1b78817728a9acd8::ace::0,pair-026c1b78817728a9acd8,,,,endpoint_added,ENDPOINT_ADDED,get,/transactions/{id},2,0,0,0,0,0,18,0,0,/transactions/{id}
pair-0308b71b4633c58c78ef::ace::0,pair-0308b71b4633c58c78ef,,,,param_type_changed,PARAM_TYPE_CHANGED,get,/synth-openapi-9551f0e2d52b/auto70538,2,0,0,0,0,0,0,0,0,
pair-0308b71b4633c58c78ef::ace::1,pair-0308b71b4633c58c78ef,,,,param_removed,PARAM_REMOVED,get,/synth-openapi-9551f0e2d52b/items,2,1,0,0,0,0,0,0,0,
pair-0308b71b4633c58c78ef::ace::2,pair-0308b71b4633c58c78ef,,,,param_removed,PARAM_REMOVED,get,/synth-openapi-9551f0e2d52b/auto11300,2,1,0,0,0,0,0,0,0,
